	CAS_Number	result_conc1_mean	Area	Month_Year	Concentration	SPECIES_ENCODED	SPCSNO
0	60207901	1.8	3.0	201901	0.0033	4	122.0
1	60207901	1.8	3.0	201901	0.0033	4	366.0
2	60207901	1.8	6.0	201901	0.001	4	234.0
3	60207901	1.8	6.0	201901	0.001	4	539.0
4	60207901	1.8	9.0	201901	0.0006	4	93.0
5	60207901	1.8	9.0	201901	0.0006	2	26.0
6	333415	4.5	10.0	202201	0.0059	4	310.0
7	333415	4.5	10.0	202201	0.0059	4	45.0
8	333415	0.602	10.0	202201	0.0059	5	11.0
9	60207901	1.8	5.0	201901	0.0059	4	22.0
10	60207901	1.2	5.0	201901	0.0059	5	4.0
11	60207901	1.2	5.0	201901	0.0059	5	4.0
12	60207901	3.39	5.0	201901	0.0059	5	4.0
13	60207901	1.2	5.0	201901	0.0059	5	36.0
14	60207901	1.2	5.0	201901	0.0059	5	36.0
15	60207901	3.39	5.0	201901	0.0059	5	36.0
16	60207901	1.8	5.0	201901	0.0059	2	65.0
17	60207901	1.8	5.0	201901	0.0059	2	36.0
18	60207901	1.8	20.0	201901	0.0006	4	764.0
19	60207901	1.8	20.0	201901	0.0006	4	293.0
20	60207901	1.8	20.0	201901	0.0006	4	85.0
21	60207901	1.8	20.0	201901	0.0006	4	1199.0
22	60207901	1.8	20.0	201901	0.0006	4	352.0
23	60207901	1.8	20.0	201901	0.0006	4	110.0
24	60207901	1.8	20.0	201901	0.0006	2	1.0
25	60207901	1.8	20.0	201901	0.0006	2	29.0
26	60207901	1.8	20.0	201901	0.0006	2	15.0
27	60207901	1.8	20.0	201901	0.0006	2	12.0
28	60207901	1.8	27.0	201901	0.005	4	4.0
29	60207901	1.2	27.0	201901	0.005	5	1.0
30	60207901	1.2	27.0	201901	0.005	5	1.0
31	60207901	3.39	27.0	201901	0.005	5	1.0
32	60207901	1.8	27.0	201901	0.005	2	34.0
33	60207901	1.8	31.0	201901	0.047	4	46.0
34	60207901	1.8	31.0	201901	0.047	4	1.0
35	60207901	1.2	31.0	201901	0.047	5	135.0
36	60207901	1.2	31.0	201901	0.047	5	135.0
37	60207901	3.39	31.0	201901	0.047	5	135.0
38	60207901	1.2	31.0	201901	0.047	5	49.0
39	60207901	1.2	31.0	201901	0.047	5	49.0
40	60207901	3.39	31.0	201901	0.047	5	49.0
41	60207901	1.2	31.0	201901	0.047	5	47.0
42	60207901	1.2	31.0	201901	0.047	5	47.0
43	60207901	3.39	31.0	201901	0.047	5	47.0
44	60207901	1.8	31.0	201901	0.047	2	39.0
45	60207901	1.8	31.0	201901	0.047	2	11.0
46	60207901	1.8	31.0	201901	0.047	2	15.0
47	60207901	1.8	33.0	201801	0.0001	4	44.0
48	60207901	1.8	33.0	201801	0.0001	4	178.0
49	60207901	1.8	33.0	201801	0.0001	2	269.0
50	60207901	1.8	33.0	201801	0.0001	2	38.0
51	60207901	1.8	44.0	201901	0.007	4	11.0
52	60207901	1.8	44.0	201901	0.007	4	2.0
53	60207901	1.8	44.0	201901	0.007	4	8.0
54	60207901	1.8	44.0	201901	0.007	4	3.0
55	60207901	1.2	44.0	201901	0.007	5	5.0
56	60207901	1.2	44.0	201901	0.007	5	5.0
57	60207901	3.39	44.0	201901	0.007	5	5.0
58	60207901	1.2	44.0	201901	0.007	5	2.0
59	60207901	1.2	44.0	201901	0.007	5	2.0
60	60207901	3.39	44.0	201901	0.007	5	2.0
61	60207901	1.2	44.0	201901	0.007	5	2.0
62	60207901	1.2	44.0	201901	0.007	5	2.0
63	60207901	3.39	44.0	201901	0.007	5	2.0
64	60207901	1.8	44.0	201901	0.007	2	33.0
65	60207901	1.8	44.0	201901	0.007	2	8.0
66	60207901	1.8	44.0	201901	0.007	2	15.0
67	60207901	1.8	44.0	201901	0.007	2	19.0
68	333415	4.5	52.0	201801	0.0007	4	11.0
69	333415	4.5	53.0	201801	0.0007	4	5.0
70	333415	4.5	53.0	201801	0.0007	4	32.0
71	333415	0.086	53.0	201801	0.0007	0	2.0
72	333415	0.08	53.0	201801	0.0007	0	2.0
73	333415	0.085	53.0	201801	0.0007	0	2.0
74	333415	0.08	53.0	201801	0.0007	0	2.0
75	333415	0.08	53.0	201801	0.0007	0	2.0
76	333415	0.085	53.0	201801	0.0007	0	2.0
77	333415	0.602	53.0	201801	0.0007	5	4.0
78	333415	4.5	54.0	201801	0.0006	4	58.0
79	1912249	25.0	5.0	201901	0.0054	5	4.0
80	1912249	27.0	5.0	201901	0.0054	5	4.0
81	1912249	25.0	5.0	201901	0.0054	5	36.0
82	1912249	27.0	5.0	201901	0.0054	5	36.0
83	1912249	25.0	5.0	202201	0.015	5	16.0
84	1912249	27.0	5.0	202201	0.015	5	16.0
85	1912249	25.0	5.0	202201	0.015	5	18.0
86	1912249	27.0	5.0	202201	0.015	5	18.0
87	120365	91.0	10.0	202201	0.0045	5	11.0
88	120365	78.0	10.0	202201	0.0045	5	11.0
89	1912249	25.0	32.0	201801	0.0015	5	9.0
90	1912249	27.0	32.0	201801	0.0015	5	9.0
91	1912249	25.0	32.0	202201	0.006	5	8.0
92	1912249	27.0	32.0	202201	0.006	5	8.0
93	1912249	25.0	35.0	201801	0.008	5	1.0
94	1912249	27.0	35.0	201801	0.008	5	1.0
95	1912249	25.0	35.0	201801	0.008	5	71.0
96	1912249	27.0	35.0	201801	0.008	5	71.0
97	1912249	25.0	35.0	201801	0.008	5	67.0
98	1912249	27.0	35.0	201801	0.008	5	67.0
99	1912249	25.0	38.0	201801	0.0004	5	11.0
100	1912249	27.0	38.0	201801	0.0004	5	11.0
101	26225796	0.75	6.0	201801	0.005	1	1.0
102	26225796	0.5	6.0	201801	0.005	1	1.0
103	26225796	40.0	6.0	201801	0.005	1	1.0
104	26225796	35.0	6.0	201801	0.005	1	1.0
105	26225796	30.0	6.0	201801	0.005	1	1.0
106	26225796	11.5	6.0	201801	0.005	1	1.0
107	26225796	17.5	6.0	201801	0.005	1	1.0
108	886500	0.82	6.0	201801	0.012	1	1.0
109	886500	1.8	6.0	201801	0.012	1	1.0
110	886500	2.4	6.0	201801	0.012	1	1.0
111	886500	0.82	6.0	201801	0.012	1	1.0
112	886500	3.0	6.0	201801	0.012	1	1.0
113	142459583	5.84	6.0	201801	0.01	1	1.0
114	142459583	3.49	6.0	201801	0.01	1	1.0
115	188425856	2.7	7.0	201801	0.0022	1	4.0
116	188425856	2.7	7.0	201801	0.0022	1	4.0
117	188425856	2.7	7.0	201801	0.0022	1	1.0
118	188425856	2.7	7.0	201801	0.0022	1	1.0
119	2303175	0.62	31.0	201801	0.006	1	2.0
120	2303175	1.0	31.0	201801	0.006	1	2.0
121	2303175	1.2	31.0	201801	0.006	1	2.0
122	2303175	1.5	31.0	201801	0.006	1	2.0
123	2008584	235.0	31.0	201801	0.24	1	2.0
124	2008584	235.0	31.0	201801	0.15	1	2.0
125	142459583	5.84	31.0	201801	0.0002	1	2.0
126	142459583	3.49	31.0	201801	0.0002	1	2.0
127	188425856	2.7	31.0	201801	0.0004	1	2.0
128	239110157	0.349	31.0	201801	0.0016	1	2.0
129	131860338	0.47	31.0	201801	0.001	1	2.0
130	120832	5.99	5.0	201901	0.013	3	3.0
131	120832	6.83	5.0	201901	0.013	3	3.0
132	88062	1.4	5.0	202201	0.015	3	2.0
133	120832	5.99	5.0	202201	0.01	3	2.0
134	120832	6.83	5.0	202201	0.01	3	2.0
